Rank,Artist,Album,Year,Spotify,Description,wiki,Duration,Minutes,Seconds,Total Seconds,Label,Sub Metal Genre,Rating,Tracks,Rolling Stone Rating,avg. BPM,max BPM,min BPM,avg. ENERGY,max ENERGY,min ENERGY,avg. VALENCE,max VALENCE,min VALENCE,avg. POP.,max POP,min POP,Max BPM Track,Min BPM Track,Max Energy Track,Min Energy Track,Max Valence Track,Min Valence Track,Max Pop Track,Min Pop Track
41,Kyuss,Blues for the Red Sun,1992,https://open.spotify.com/album/7wXj8GxTkGAUU99DXR7n2f,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/kyuss-blues-for-the-red-sun-1992-w487016,https://en.wikipedia.org/wiki/Blues_for_the_Red_Sun,50:56:00,50,56,3056,Dali,Stoner Rock,4,14,Rolling Stone,130,181,82,62,95,28,42,63,5,32,49,29,Green Machine,50 Million Year Trip (Downside Up),Green Machine,Capsized,Writhe,Capsized,Green Machine,Capsized
42,Diamond Head,Lightning to the Nations,1980,,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/diamond-head-lightning-to-the-nations-1980-w486973,https://en.wikipedia.org/wiki/Lightning_to_the_Nations,41:37:00,41,37,2497,Happy Face,New Wave of British Heavy Metal,4.5,7,AllMusic,,,,,,,,,,,,,,,,,,,,
43,Judas Priest,Stained Class,1978,https://open.spotify.com/album/0v6FGuCgvRotTNL1KoX297,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/judas-priest-stained-class-1978-w487013,https://en.wikipedia.org/wiki/Stained_Class,43:25:00,43,25,2605,Columbia,New Wave of British Heavy Metal,4.5,9,AllMusic,139,180,97,83,88,71,50,65,27,31,45,25,"White Heat, Red Hot",Saints in Hell,Exciter,Beyond the Realms of Death,Invader,Exciter,Beyond the Realms of Death,Savage
44,Motley Crue,Shout at the Devil,1983,https://open.spotify.com/album/2BCI4Oj05SiqooWWBqUqjT,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/mtley-cre-shout-at-the-devil-1983-w486978,https://en.wikipedia.org/wiki/Shout_at_the_Devil,35:02:00,35,2,2102,Elektra,Hair Metal,2,11,Rolling Stone,123,172,92,84,96,36,56,86,19,42,59,32,Bastard,Helter Skelter,Bastard,God Bless The Children of the Beast,Too Young To Fall In Love,In The Beginning,Shout At The Devil,God Bless The Children of the Beast
45,Exodus,Bonded by Blood,1985,https://open.spotify.com/album/1IfG1UITBGxTIIVZ3qgUrD,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/exodus-bonded-by-blood-1985-w486983,https://en.wikipedia.org/wiki/Bonded_by_Blood,40:31:00,40,31,2431,Torrid,Thrash Metal,4,9,AllMusic,141,174,93,96,99,93,20,32,7,31,41,26,And Then There Were None,Strike of the Beast,Metal Command,Piranha,Piranha,No Love,Bonded by Blood,No Love
46,Mastodon,Leviathan,2004,https://open.spotify.com/album/6khFoLWnJZDQvZ7Pijym3b,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/mastodon-leviathan-2004-w487029,https://en.wikipedia.org/wiki/Leviathan_(album),46:47:00,46,47,2807,Relapse,Prog Metal,5,10,AllMusic,131,167,93,91,99,35,26,51,11,40,55,33,Hearts Alive,Blood and Thunder,Island,Joseph Merrick - Instrumental,Megalodon,Joseph Merrick - Instrumental,Blood and Thunder,Joseph Merrick - Instrumental
47,Slayer,South of Heaven,1988,https://open.spotify.com/album/09ghSsJ7jalI4jWtf7E08b,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/slayer-south-of-heaven-1988-w487123,https://en.wikipedia.org/wiki/South_of_Heaven,36:55:00,36,55,2215,Def Jam,Speed Metal,1,10,Rolling Stone,115,154,91,99,100,96,26,45,6,37,54,30,Spill The Blood,Read Between The Lies,Mandatory Suicide,Spill The Blood,Behind The Crooked Cross,South Of Heaven,South Of Heaven,Cleanse The Soul
48,Rainbow,Rising,1976,https://open.spotify.com/album/3uIT4I4Dy7Pq1j0aSjzPW9,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/rainbow-rising-1976-w487115,https://en.wikipedia.org/wiki/Rising_(Rainbow_album),33:22:00,33,22,2002,Oyster,Heavy Metal,4,6,AllMusic,146,177,109,92,96,86,41,64,14,21,30,16,Stargazer,A Light In The Black,A Light In The Black,Run With The Wolf,Run With The Wolf,A Light In The Black,Tarot Woman,Do You Close Your Eyes
49,Neurosis,Through Silver in Blood,1996,https://open.spotify.com/album/6HBRtTolIqgDVJXBwtyYPV,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/neurosis-through-silver-in-blood-1996-w487071,https://en.wikipedia.org/wiki/Through_Silver_in_Blood,70:37:00,70,37,4237,Relapse,Post Metal,5,9,AllMusic,107,135,77,56,86,27,15,27,4,20,29,14,Aeon,Become the Ocean,Through Silver In Blood,Enclosure In Flame,Eye,Purify,Locust Star,Enclosure In Flame
50,Slipknot,Iowa,2001,https://open.spotify.com/album/6HBRtTolIqgDVJXBwtyYPV,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/slipknot-iowa-2001-w487125,https://en.wikipedia.org/wiki/Iowa_(album),66:25:00,66,25,3985,Roadrunner,Nu Metal,4,14,Rolling Stone,122,174,89,93,100,53,21,44,8,39,46,34,Iowa,My Plague,People = Shit,-515,I Am Hated,-515,People = Shit,-515
51,Carcass,Heartwork,1993,https://open.spotify.com/album/7D1UMHzEIHNhwa0gyqmya9,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/carcass-heartwork-1993-w486961,https://en.wikipedia.org/wiki/Heartwork,41:52:00,41,52,2512,Earache,Death Metal,4.5,10,AllMusic,102,140,77,99,100,97,28,56,15,30,45,23,Doctrinal Expletives,Embodiment,Carnal Forge,Embodiment,Embodiment,Arbeit Macht Fleisch,Heartwork,Doctrinal Expletives
52,Def Leppard,Pyromania,1983,,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/def-leppard-pyromania-1983-w486971,https://en.wikipedia.org/wiki/Pyromania_(album),44:57:00,44,57,2697,Mercury,Hair Metal,4,10,Rolling Stone,,,,,,,,,,,,,,,,,,,,
53,Type O Negative,Bloddy Kisses,1993,https://open.spotify.com/album/127mCJhPsHAB33rOYybK04,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/type-o-negative-bloody-kisses-1993-w487132,https://en.wikipedia.org/wiki/Bloody_Kisses,73:33:00,73,33,4413,Roadrunner,Gothic Metal,2,14,Rolling Stone,113,187,80,75,94,47,24,52,3,25,35,21,Dark Side Of The Womb,Machine Screw,We Hate Everyone,Dark Side Of The Womb,Set Me On Fire,3.O.I.F.,Christian Woman,3.O.I.F.
54,Helmet,Meantime,1992,https://open.spotify.com/album/0U7asaf4jS8EORTjHEWNcJ,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/helmet-meantime-1992-w486996,https://en.wikipedia.org/wiki/Meantime_(album),36:56:00,36,56,2216,Interscope,Alternative Metal,3.5,10,Rolling Stone,123,160,88,81,90,68,60,80,38,26,42,21,In The Meantime,He Feels Bad,Iron Head,Better,Better,You Borrowed,Unsung,Better
55,Opeth,Blackwater Park,2001,https://open.spotify.com/album/3CCkWrqhWcKU7qXK3ooEEo,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/opeth-blackwater-park-2001-w487074,https://en.wikipedia.org/wiki/Blackwater_Park,67:01:00,67,1,4021,Music for Nations,Prog Metal,5,8,AllMusic,112,190,63,73,96,26,20,43,5,33,38,30,The Drapery Falls,Harvest,The Funeral Portrait,Patterns in the Ivy,Patterns in the Ivy,The Leper Affinity,Harvest,Dirge for November
56,The Dillinger Escape Plan,Calculating Infinity,1999,https://open.spotify.com/album/0lUmhvC9JtPpU8LEYHVdyS,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/the-dillinger-escape-plan-calculating-infinity-1999-w486974,https://en.wikipedia.org/wiki/Calculating_Infinity,37:31:00,37,31,2251,Relapse,Prog Metal,4.5,11,AllMusic,115,139,83,92,99,74,28,76,6,22,31,18,43% Burnt,Variations on a Cocktail Dress,Clip The Apex...Accept Instruction,Weekend Sex Change,Calculating Infinity,*#..,43% Burnt,Variations on a Cocktail Dress
57,Emperor,Anthems to the Welkin at Dusk,1997,https://open.spotify.com/album/0PIidVsFr9Oji1Y79jTV9M,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/emperor-anthems-to-the-welkin-at-dusk-1997-w486979,https://en.wikipedia.org/wiki/Anthems_to_the_Welkin_at_Dusk,43:57:00,43,57,2637,Candlelight,Black Metal,4.5,8,AllMusic,112,142,67,80,95,41,6,15,4,12,14,9,The Loss & Curse of Reverence,Al Svartr (The Oath),The Acclamation of Bonds,Al Svartr (The Oath),Encorcelled by Khaos,Ye Entrancepmerium,Ye Entrancepmerium,The Acclamation of Bonds
58,Life of Agony,River Runs Red,1993,https://open.spotify.com/album/3TLpF63KEFZfoy1iIJagzP,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/life-of-agony-river-runs-red-1993-w487025,https://en.wikipedia.org/wiki/River_Runs_Red,50:21:00,50,21,3021,Roadrunner,Groove Metal,4,13,AllMusic,120,167,76,65,93,17,27,43,6,22,28,14,Bad Seed,Respect,River Runs Red,Monday,This Time,Friday,This Time,Friday
59,Napalm Death,From Enslavement to Obliteration,1988,https://open.spotify.com/album/4veFj7IvUM9q3Z0S0A4y0F,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/napalm-death-from-enslavement-to-obliteration-1988-w487069,https://en.wikipedia.org/wiki/From_Enslavement_to_Obliteration,29:45:00,29,45,1785,Earache,Grindcore,4.5,22,AllMusic,107,119,93,82,91,60,25,54,5,9,14,6,Evolved As One,Sometimes,Emotional Suffocation,Evolved As One,Unchallenged Hate,Worlds Apart,Evolved As One,Sometimes
60,Melvins,Bullhead,1991,https://open.spotify.com/album/3hAEZH07Rme4RfmSbd7KMC,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/melvins-bullhead-1991-w487038,https://en.wikipedia.org/wiki/Bullhead_(album),34:54:00,34,54,2094,Boner,Stoner Rock,4,8,AllMusic,129,149,118,44,78,18,37,96,14,23,29,18,Cow,Your Blessened,Cow,Ligature,It's Shoved,Boris,Boris,Cow
61,Converge,Jane Doe,2001,https://open.spotify.com/album/2gtM4m6sglJDrX3toJWZO6,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/converge-jane-doe-2001-w486965,https://en.wikipedia.org/wiki/Jane_Doe_(album),45:22:00,45,22,2722,Equal Vision,Metalcore,4.5,12,AllMusic,122,191,48,93,100,69,19,32,6,28,37,23,Heaven in Her Arms,Phoenix in Flames,Fault and Fracture,Hell To Pay,Bitter and Then Some,Phoenix in Flames,Concubine,Phoenix in Flames
62,Sleep,Jerusalem,1999,https://open.spotify.com/album/5DwHEOrCwvTNwG6H3wNaiU,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/sleep-jerusalem-1999-w487122,https://en.wikipedia.org/wiki/Jerusalem_and_Dopesmoker,52:07:00,52,7,3127,Rise Above,Stoner Rock,4,6,AllMusic,115,190,97,64,78,53,6,14,4,20,28,18,Jerusalem,Jerusalem,Jerusalem,Jerusalem,Jerusalem,Jerusalem,Jerusalem,Jerusalem
63,Sodom,Agent Orange,1989,https://open.spotify.com/album/711uqE9rCwxC8iOeAHOL8Z,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/sodom-agent-orange-1989-w487126,https://en.wikipedia.org/wiki/Agent_Orange_(album),40:15:00,40,15,2415,Sledgehammer,Thrash Metal,4.5,9,AllMusic,131,159,114,99,100,96,26,48,9,8,18,3,Don't Walk Away (TANK cover),Agent Orange,Tired and Red,Remember The Fallen,Ausgebombt,Tired and Red,Agent Orange,Exhibition Bout
64,Godflesh,Streetcleaner,1989,https://open.spotify.com/album/5fRIh0Yk4eFLst6Nj7RUDF,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/godflesh-streetcleaner-1989-w486990,https://en.wikipedia.org/wiki/Streetcleaner_(album),66:26:00,66,26,3986,Earache,Industrial Metal,4.5,14,AllMusic,137,170,95,68,94,51,31,63,4,12,27,8,Christbait Rising,Life Is Easy,Tiny Tears,Locust Furnace,Pulp,Mighty Trust Krusher,Like Rats,Wound
65,Faith No More,Angel Dust,1992,https://open.spotify.com/album/59GwovfBk0Kp2HJw1G7E5Q,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/faith-no-more-angel-dust-1992-w486989,https://en.wikipedia.org/wiki/Angel_Dust_(Faith_No_More_album),61:50:00,61,50,3710,Slash,Alternative Metal,4,15,Rolling Stone,124,179,62,82,97,48,36,67,12,39,58,32,Jizzlobber,Midnight Cowboy (Theme from),Be Aggressive,Midnight Cowboy (Theme from),Land Of Sunshine,Malpractice,Easy,Jizzlobber
66,Deftones,White Pony,2000,https://open.spotify.com/album/5LEXck3kfixFaA3CqVE7bC,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/deftones-white-pony-2000-w486972,https://en.wikipedia.org/wiki/White_Pony,45:16:00,45,16,2716,Maverick,Alternative Metal,3,11,Rolling Stone,117,161,74,90,99,75,33,78,11,51,67,42,Street Carp,Knife Prty,Back To School - Mini Maggit,Teenager,Teenager,Feiticeira,Change (In the House of Flies),Teenager
67,Queensryche,Operation: Mindcrime,1988,https://open.spotify.com/album/16VzTNaeadMjxI03Xi9s6n,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/queensrche-operation-mindcrime-1988-w487108,https://en.wikipedia.org/wiki/Operation:_Mindcrime,59:30:00,59,30,3570,EMI,Prog Metal,3,15,Rolling Stone,119,188,89,84,99,25,23,45,5,32,53,26,The Mission,I Remember Now,Anarchy-X,My Empty Room,Breaking The Silence,Suite Sister Mary,I Don't Believe In Love,Electric Requiem
68,Marilyn Manson,Portrait of an American Family,1994,https://open.spotify.com/album/1SmsWlQZojAXz5H0i26bRl,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/marilyn-manson-portrait-of-an-american-family-1994-w487028,https://en.wikipedia.org/wiki/Portrait_of_an_American_Family,61:04:00,61,4,3664,Interscope,Alternative Metal,2,13,Rolling Stone,153,190,72,80,96,47,41,97,16,30,39,14,Organ Grinder,Prelude (The Family Trip),Lunchbox,Prelude (The Family Trip),Misery Machine,Sweet Tooth,Lunchbox,Misery Machine
69,Soundgarden,Louder than Love,1989,https://open.spotify.com/album/4Q1HXCFg84PfQRZlPCA4SH,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/soundgarden-louder-than-love-1989-w487127,https://en.wikipedia.org/wiki/Louder_Than_Love,53:08:00,53,8,3188,A&M,Alternative Metal,3.5,12,Rolling Stone,135,176,91,79,95,58,32,53,16,33,41,28,Big Dumb Sex,Hands All Over,Full On Kevin's Mom,Ugly Truth,Big Dumb Sex,Full On Kevin's Mom,Loud Love,Full On
70,Death,Human,1991,https://open.spotify.com/album/6AvvqTkgRqq3L4bD9qYfjD,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/death-human-1991-w486969,https://en.wikipedia.org/wiki/Human_(Death_album),38:29:00,38,29,2309,Relapse,Prog Metal,4.5,9,AllMusic,118,172,92,92,96,87,39,59,6,21,25,17,See Through Dreams,Secret Face,Lack of Comprehension,Vacant Planets,Vacant Planets,Cosmic Sea,Lack of Comprehension,Vacant Planets
71,Living Colour,Vivid,1988,https://open.spotify.com/album/532IlegHv3OfVGgyCFGBTs,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/living-colour-vivid-1988-w487026,https://en.wikipedia.org/wiki/Vivid_(Living_Colour_album),46:57:00,46,57,2817,Epic,Alternative Metal,4.5,11,AllMusic,115,172,77,93,98,83,57,89,33,28,56,21,Broken Hearts,Which Way to America,Middle Man,Memories Can't Wait,I Want To Know,Memories Can't Wait,Cult of Personality,What's Your Favorite Color?
72,Isis,Oceanic,2002,https://open.spotify.com/album/7Enr3hOfLpLa8PdcBtoXmW,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/isis-oceanic-2002-w487006,https://en.wikipedia.org/wiki/Oceanic_(Isis_album),63:18:00,63,18,3798,Ipecac,Post Metal,5,9,AllMusic,124,167,112,64,86,47,27,74,3,11,16,8,(Untitled),The Beginning and the End,(Untitled),Maritime,Maritime,(Untitled),The Beginning and the End,Hym
73,Scorpions,Blackout,1982,https://open.spotify.com/album/6x75r5C54z1quun86Bbqbr,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/scorpions-blackout-1982-w487116,https://en.wikipedia.org/wiki/Blackout_(Scorpions_album),36:41:00,36,41,2201,Mercury,Heavy Metal,3,9,Rolling Stone,120,190,78,71,91,42,63,87,32,34,53,27,Now,China White,Now,When The Smoke Is Going Down,Arizona,When The Smoke Is Going Down,No One Like You,Now
74,Venom,Welcome to Hell,1981,https://open.spotify.com/album/5oxowPycWCoLyE5nf0ZGmX,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/venom-welcome-to-hell-1981-w487134,https://en.wikipedia.org/wiki/Welcome_to_Hell,39:28:00,39,28,2368,Neat,Thrash Metal,4.5,11,AllMusic,123,177,81,88,98,42,11,50,3,26,47,20,Welcome To Hell,Mayhem with Mercy,Welcome To Hell,Mayhem with Mercy,In League with Satan,Witching Hour,Welcome To Hell,Red Light Fever
75,Morbid Angel,Covenant,1993,https://open.spotify.com/album/3dl4rU3ZBtiquwHEenf4qt,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/morbid-angel-covenant-1993-w487062,https://en.wikipedia.org/wiki/Covenant_(Morbid_Angel_album),41:10:00,41,10,2470,Giant,Death Metal,4.5,10,AllMusic,124,156,83,88,99,39,23,43,7,20,24,14,"God Of Emptiness (I. The Accuser, II. The Tempter)",Angel Of Disease,Pain Divine,Nar Mattaru,Angel Of Disease,Rapture,"God Of Emptiness (I. The Accuser, II. The Tempter)",Nar Mattaru
76,Twisted Sister,Stay Hungry,1984,https://open.spotify.com/album/0dzqapIToiOhULGvzDKpXm,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/twisted-sister-stay-hungry-1984-w486970,https://en.wikipedia.org/wiki/Stay_Hungry_(album),36:56:00,36,56,2216,Atlantic,Hair Metal,4.5,9,AllMusic,127,166,78,75,99,52,56,96,26,43,66,29,The Beast,The Price,Stay Hungry,The Beast,We're Not Gonna Take It,Stay Hungry,We're Not Gonna Take It,Don't Let Me Down
77,Meshuggah,Destroy Erase Improve,1995,https://open.spotify.com/album/3fZhCgsoPILz28vPNTh55Y,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/meshuggah-destroy-erase-improve-1995-w487046,https://en.wikipedia.org/wiki/Destroy_Erase_Improve,34:15:00,34,15,2055,Nuclear Blast,Prog Metal,4.5,13,AllMusic,121,159,78,88,100,15,22,43,3,27,31,12,Vanished,Beneath,Terminal Illusions,Acrid Placidity,Soul Burn,Terminal Illusions,Future Breed Machine,Vanished (demo)
78,Voivod,Dimension Hatross,1988,https://open.spotify.com/album/3fZhCgsoPILz28vPNTh55Y,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/voivod-dimension-hatrss-1988-w487135,https://en.wikipedia.org/wiki/Dimension_Hatr%C3%B6ss,41:39:00,41,39,2499,Noise,Thrash Metal,4,9,AllMusic,125,160,83,85,91,68,27,55,8,14,20,10,Chaosmongers,Technocratic Manipulators,Psychic Vacuum,Chaosmongers,Tribal Convictions,Cosmic Drama,Tribal Convictions,Batman
79,At the Gates,Slaughter of the Soul,1995,https://open.spotify.com/album/1m0px7K5tJndjxU6RIuL8U,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/at-the-gates-slaughter-of-the-soul-1995-w486947,https://en.wikipedia.org/wiki/Slaughter_of_the_Soul,52:06:00,52,6,3126,Earache,Death Metal,5,11,AllMusic,126,180,78,85,99,30,28,55,4,19,31,22,Cold,The Flames of the End,Blinded By Fear,Into the Dead Sky,Nausea,Blinded By Fear,Slaughter of the Soul,The Flames of the End
80,Ministry,Psalm 69: The Way to Succeed and the Way to Suck Eggs,1992,https://open.spotify.com/album/2wz3P1w89gQd3iXdmF1IA5,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/ministry-psalm-69-the-way-to-succeed-and-the-way-to-suck-eggs-1992-w487060,https://en.wikipedia.org/wiki/Psalm_69:_The_Way_to_Succeed_and_the_Way_to_Suck_Eggs,44:45:00,44,45,2685,Sire,Industrial Metal,4,9,Rolling Stone,124,170,75,90,98,80,30,63,4,34,48,23,TV II,Scare Crow,Just One Fix,TV II,Hero,Grace,Jesus Built My Hotrod,Grace
81,Bathory,Under the Sign of the Black Mark,1987,https://open.spotify.com/album/450O7sJi2GTzmLqHS03T88,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/bathory-under-the-sign-of-the-black-mark-1987-w486950,https://en.wikipedia.org/wiki/Under_the_Sign_of_the_Black_Mark,35:48:00,35,48,2148,New Renaissance,Black Metal,4.5,10,AllMusic,114,143,62,77,99,4,7,19,3,22,33,19,Chariots of Fire,The Winds Of Mayhem (outro),Equimanthorn,The Winds Of Mayhem (outro),Woman Of Dark Desires,Nocturnal Obeisance,Call From The Grave,Of Doom......
82,Entombed,Left Hand Path,1990,https://open.spotify.com/album/5nrZejD99ZmAXrmrouIJcU,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/entombed-left-hand-path-1990-w486980,https://en.wikipedia.org/wiki/Left_Hand_Path_(album),39:49:00,39,49,2389,Combat,Death Metal,4.5,10,AllMusic,126,167,108,96,99,93,21,31,9,25,39,18,Revel In Flesh,Drowned,When Life Has Ceased,Left Hand Path,Abnormally Deceased,The Truth Beyond,Left Hand Path,The Truth Beyond
83,Baroness,The Red Album,2007,https://open.spotify.com/album/7HjDc1R38sIpwbKHOrbBNR,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/baroness-the-red-album-2007-w486949,https://en.wikipedia.org/wiki/Red_Album_(Baroness_album),44:27:00,44,27,2667,Relapse,Sludge Metal,3.5,11,AllMusic,136,163,90,76,93,38,34,67,9,30,41,27,Wanderlust,Teeth Of A Cogwheel,O'Appalachia,Cockroach En Fleur,O'Appalachia,Grad,Rays On Pinion,Aleph
84,High on Fire,Blessed Black Wings,2005,https://open.spotify.com/album/2Fez8YmdKDD9732QTBeJzt,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/high-on-fire-blessed-black-wings-2005-w486999,https://en.wikipedia.org/wiki/Blessed_Black_Wings,53:30:00,53,30,3210,Relapse,Sludge Metal,3,10,AllMusic,140,192,99,92,97,85,17,42,6,21,30,16,Silver Back,Blessed Black Wings,Annointing of Seer,Songs of Thunder,Songs of Thunder,Silver Back,Devilution,Silver Back
85,Darkthrone,Transilvanian Hunger,1984,https://open.spotify.com/album/2Fez8YmdKDD9732QTBeJzt,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/darkthrone-transilvanian-hunger-1991-w486967,https://en.wikipedia.org/wiki/Transilvanian_Hunger,39:03:00,39,3,2343,Peaceville,Black Metal,4.5,8,AllMusic,138,145,131,100,100,100,2,2,1,19,27,16,As Flittermice as Satans Spys,I En Hall Med Flesk Og Mjod,Transilvanian Hunger,Transilvanian Hunger,Transilvanian Hunger,Slottet I Det Fjerne,Transilvanian Hunger,I En Hall Med Flesk Og Mjod
86,Lamb of God,As the Palace Burns,2003,https://open.spotify.com/album/5OubC3vkQNuA3rVu6iD6xa,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/lamb-of-god-as-the-palaces-burn-2003-w487022,https://en.wikipedia.org/wiki/As_the_Palaces_Burn,37:58:00,37,58,2278,Prosthetic,Thrash Metal,3,10,Rolling Stone,115,175,82,98,100,97,27,42,10,33,40,28,Boot Scraper,Blood Junkie,As The Palaces Burn,Purified,For Your Malice,Vigil,Ruin,In Defense Of Our Good Name
87,Manowar,Hail to England,1984,,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/manowar-hail-to-england-1984-w487027,https://en.wikipedia.org/wiki/Hail_to_England,33:13:00,33,13,1993,Music for Nations,Power Metal,4,7,AllMusic,,,,,,,,,,,,,,,,,,,,
88,Pig Destroyer,Terrifyer,2004,https://open.spotify.com/album/6x95DGZhx18gJuxRlbwZso,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/pig-destroyer-terrifyer-2004-w487103,https://en.wikipedia.org/wiki/Terrifyer,32:19:00,32,19,1939,Relapse,Grindcore,4.5,25,AllMusic,121,148,52,96,100,19,8,51,3,17,26,13,Pretty In Casts,Sourheart,Pretty In Casts,Intro,Intro,Boy Constrictor,Gravedancer,The Gentleman
89,Nightwish,Once,2004,https://open.spotify.com/album/5sHIuXeNUs3Tqfg7kQIFVT,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/nightwish-once-2004-w487072,https://en.wikipedia.org/wiki/Once_(Nightwish_album),60:09:00,60,9,3609,Roadrunner,Power Metal,3.5,11,AllMusic,132,190,82,76,94,33,35,58,9,32,44,23,Dark Chest Of Wonders,Kuolema Tekee Taiteilijan,Wish I Had An Angel,Kuolema Tekee Taiteilijan,Dead Gardens,Kuolema Tekee Taiteilijan,Wish I Had An Angel,Higher Than Hope
90,Body Count,Body Count,1992,https://open.spotify.com/album/2J5Lf1s0Q42e31xjSwVd8J,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/body-count-1992-w486960,https://en.wikipedia.org/wiki/Body_Count_(album),53:11:00,53,11,3191,Sire,Rap Metal,3,18,Rolling Stone,126,186,74,64,99,12,44,84,18,23,39,26,Body Count,The Winner Loses,Bowels Of The Devil,C Note,Freedom Of Speech,C Note,Body Count's In The House,Body Count Anthem
91,Naked City,Torture Garden,1990,,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/naked-city-torture-garden-1990-w487068,https://en.wikipedia.org/wiki/Torture_Garden_(album),22:28:00,22,0,1320,Toy's Factory,Grindcore,4,42,AllMusic,,,,,,,,,,,,,,,,,,,,
92,Eyehategod,Take as Needed for Pain,1993,https://open.spotify.com/album/0KGUACvQup4NDOhumQGa3V,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/eyehategod-take-as-needed-for-pain-1993-w486987,https://en.wikipedia.org/wiki/Take_as_Needed_for_Pain,49:34:00,49,34,2974,Century Media,Sludge Metal,4,12,AllMusic,114,144,75,71,81,60,28,62,6,22,32,13,Sister Fucker (Pt. I),White Nigger,Sister Fucker (Pt. I),Who Gave Her the Roses,Laugh It Off,Disturbance,Sister Fucker (Pt. I),Laugh It Off
