Rank,Artist,Album,Year,Spotify,Description,wiki,Duration,Minutes,Seconds,Total Seconds,Label,Sub Metal Genre,Rating,Tracks,Rolling Stone Rating,avg. BPM,max BPM,min BPM,avg. ENERGY,max ENERGY,min ENERGY,avg. VALENCE,max VALENCE,min VALENCE,avg. POP.,max POP,min POP,Max BPM Track,Min BPM Track,Max Energy Track,Min Energy Track,Max Valence Track,Min Valence Track,Max Pop Track,Min Pop Track
11,Metallica,Ride the Lightning,1984,https://open.spotify.com/album/1nTvIQEXvygqSIqc2vuwAz,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/judas-priest-screaming-for-vengeance-1982-w487010,https://en.wikipedia.org/wiki/Ride_the_Lightning,47:26:00,47,26,2846,Megaforce,Thrash Metal,4,8,Rolling Stone,128,163,92,95,99,86,23,52,6,51,62,44,Trapped Under Ice,Fight Fire With Fire,Fight Fire With Fire,For Whom The Bell Tolls,Escape,Trapped Under Ice,For Whom The Bell Tolls,Escape
12,Judas Priest,Screaming for Vengeance,1982,https://open.spotify.com/album/55MZQrenomrTq0aQneC7Pi,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/judas-priest-screaming-for-vengeance-1982-w487010,https://en.wikipedia.org/wiki/Screaming_for_Vengeance,38:42:00,38,42,2322,Columbia,New Wave of British Heavy Metal,4.5,10,AllMusic,118,179,80,85,98,64,36,57,20,38,60,28,Riding on the Wind,The Hellion,Screaming for Vengeance,The Hellion,Pain and Pleasure,The Hellion,You've Got Another Thing Comin',Pain and Pleasure
13,Iron Maiden,Iron Maiden,1980,https://open.spotify.com/album/7hDURvn9LKQS3vBbnI4BOI,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/iron-maiden-iron-maiden-1980-w487001,https://en.wikipedia.org/wiki/Iron_Maiden_(album),37:10:00,37,10,2230,EMI,New Wave of British Heavy Metal,4.5,8,AllMusic,119,171,93,84,98,51,46,78,18,34,40,28,Running Free,Prowler,Transylvania,Strange World,Running Free,Transylvania,Phantom Of The Opera,Charlotte The Harlot
14,Black Sabbath,Vol. 4,1972,https://open.spotify.com/album/7hDURvn9LKQS3vBbnI4BOI,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/black-sabbath-vol-4-1972-w486958,https://en.wikipedia.org/wiki/Vol._4_(Black_Sabbath_album),42:15:00,42,15,2535,Vertigo,Heavy Metal,3,10,Rolling Stone,118,158,81,48,82,9,39,66,9,38,46,31,FX,Changes,Supernaut,FX,Supernaut,FX,Changes,FX
15,Ozzy Osbourne,Diary of a Madman,1981,https://open.spotify.com/album/4xiRrFE0Gq4Si9mAfPB3hZ,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/ozzy-osbourne-diary-of-a-madman-1981-w487080,https://en.wikipedia.org/wiki/Diary_of_a_Madman_(album),43:24:00,43,24,2604,Jet,Heavy Metal,3,8,Rolling Stone,137,177,101,86,97,72,43,78,23,41,55,33,Diary of a Madman,Believer,S.A.T.O.,Tonight,Little Dolls,S.A.T.O.,Over the Mountain,Little Dolls
16,Dio,Holy Diver,1983,https://open.spotify.com/album/2ivNJLSx8Rbvnsvcn01Yt3,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/dio-holy-diver-1983-w486976,https://en.wikipedia.org/wiki/Holy_Diver,41:44:00,41,44,2504,Warner Bros,Heavy Metal,4.5,9,AllMusic,121,177,92,85,95,65,43,76,11,43,59,32,Invisible,Holy Diver,Straight Through the Heart,Shame on the Night,Caught in the Middle,Holy Diver,Holy Diver,Invisible
17,Mercyful Fate,Melissa,1983,https://open.spotify.com/album/6Ig4BhZgma0ubEVgNaMpeo,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/mercyful-fate-melissa-1983-w487043,https://en.wikipedia.org/wiki/Melissa_(Mercyful_Fate_album),40:13:00,40,13,2413,Megaforce,Black Metal,4,7,AllMusic,129,147,84,88,95,61,46,64,30,33,43,27,At The Sound Of The Demon Bell,Satan's Fall,Evil,Melissa,Curse Of The Pharaohs,Satan's Fall,Evil,At The Sound Of The Demon Bell
18,Tool,Aenima,1996,,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/tool-nima-1996-w487131,https://en.wikipedia.org/wiki/%C3%86nima,77:18:00,77,18,4638,Zoo Entertainment,Prog Metal,4.5,15,Rolling Stone,,,,,,,,,,,,,,,,,,,,
19,Megadeth,Rust in Peace,1990,https://open.spotify.com/album/0qaLL09EtF1hiUis7PRvaJ,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/megadeth-rust-in-peace-1990-w487037,https://en.wikipedia.org/wiki/Rust_in_Peace,40:39:00,40,39,2439,Capitol,Thrash Metal,4,9,Rolling Stone,130,175,75,93,99,71,34,58,13,50,61,41,Five Magics,Dawn Patrol,Holy Wars...The Punishment Due,Dawn Patrol,Dawn Patrol,Hangar 18,Holy Wars...The Punishment Due,Dawn Patrol
20,Anthrax,Among the Living,1987,https://open.spotify.com/album/4Y2jEzU70sLpTCMCl6JE0t,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/anthrax-among-the-living-1987-w486946,https://en.wikipedia.org/wiki/Among_the_Living,50:24:00,50,24,3024,Megaforce,Thrash Metal,3,9,Rolling Stone,116,165,99,95,100,91,25,54,5,29,43,23,Medley: A.D.I. / Horror Of It All,One World,One World,Efilnikufesin (N.F.L.),Indians,Among The Living,Indians,Medley: A.D.I. / Horror Of It All
